80188,Department,of,Physics,D O Physics
131811,80188

76649,University,of,Wisconsin-Madison,U O Wisconsin-Madison
126165,76649

76648,P.,,Soukiassian Synchrotron Radiation Center,P  Soukiassian Synchrotron Radiation Center

182757,Craig,N.,Burrell,C N Burrell
181598,Craig,N.,BurrellDepartment of Physics University of Toronto St. George Street Toronto Ontario Canada MS A,C N Burrelldepartment Of Physics University Of Toronto St. George Street Toronto Ontario Canada Ms A
301327,181598

41994,W.,J.,Munro,W J Munro
50330,W.,J.,MunroSpecial Research Centre for Quantum Computer Technology University of Queensland Brisbane Australia,W J Munrospecial Research Centre For Quantum Computer Technology University Of Queensland Brisbane Australia
81399,50330